"OPEID","Fund_Code","Disbursement_Criteria","Disbursement_Criteria_Description","Deadline_to_Meet_Disbursement_Criteria","Disbursement_Outbound_Message_Indicator"
"00262700","ASON","","","736","true"
"00262700","AZLP","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","CHAFEE","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","DSUB","disbursement/DSUB/StudentIsActiveAndNotOnLOA/00306400.groovy","Student is Active and not on LOA","736","true"
"00262700","DSUB","disbursement/DSUB/StudentSEntranceCounselingHasBeenCompletedAndIsNotDisqualified/00306400.groovy","Student's Entrance Counseling has been Completed and is not ""Disqualified""","736","true"
"00262700","DUNSUB","disbursement/DSUB/StudentIsActiveAndNotOnLOA/00306400.groovy","Student is Active and not on LOA","736","true"
"00262700","DUNSUB","disbursement/DSUB/StudentSEntranceCounselingHasBeenCompletedAndIsNotDisqualified/00306400.groovy","Student's Entrance Counseling has been Completed and is not ""Disqualified""","736","true"
"00262700","FALLOFF","","","736","true"
"00262700","FSAG","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","FSEOG","disbursement/PELL/StudentIsActiveOrOnLOA/00306400.groovy","Student is Active or on LOA","736","true"
"00262700","GPLUS","disbursement/DSUB/StudentIsActiveAndNotOnLOA/00306400.groovy","Student is Active and not on LOA","736","true"
"00262700","GPLUS","disbursement/GPLUS/StudentSEntranceCounselingHasBeenCompletedAndIsNotDisqualified/00306400.groovy","Student's Entrance Counseling has been Completed and is not ""Disqualified""","736","true"
"00262700","IASG","disbursement/PELL/StudentIsActiveOrOnLOA/00306400.groovy","Student is Active or on LOA","736","true"
"00262700","OHIOSG","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","PELL","disbursement/PELL/StudentIsActiveOrOnLOA/00306400.groovy","Student is Active or on LOA","736","true"
"00262700","PHEPHI","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","PHEPIT","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","PLUS","disbursement/DSUB/StudentIsActiveAndNotOnLOA/00306400.groovy","Student is Active and not on LOA","736","true"
"00262700","RISG","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"
"00262700","TEACH","disbursement/PELL/StudentIsActiveOrOnLOA/00306400.groovy","Student is Active or on LOA","736","true"
"00262700","VTSG","disbursement/AZLP/ARAHasPostedInFirstCourseOfNFRTerm/00306400.groovy","ARA has Posted in First Course of NFR Term","736","true"